First Name,Surname,Country,Specialism,Reserve Price Rs Lakh, C A U
Chris,Green,Australia,ALL_ROUNDERS,30,Uncapped
Lewis,Gregory,England,ALL_ROUNDERS,40,Uncapped
Karim,Janat,Afghanistan,ALL_ROUNDERS,20,Uncapped
Saurabh,Kumar,India,ALL_ROUNDERS,20,Uncapped
Diwesh,Pathania,India,ALL_ROUNDERS,20,Uncapped
Bipul,Sharma,India,ALL_ROUNDERS,20,Uncapped
Atharwa,Taide,India,ALL_ROUNDERS,20,Uncapped
Mohammed,Azharudeen,India,WICKET_KEEPERS,20,Uncapped
Harvik ,Desai,India,WICKET_KEEPERS,20,Uncapped
Kedar,Devdhar,India,WICKET_KEEPERS,20,Uncapped
Nikhil,Naik,India,WICKET_KEEPERS,20,Uncapped
Mahesh ,Rawat,India,WICKET_KEEPERS,20,Uncapped
Ryan,Rickelton,South Africa,WICKET_KEEPERS,20,Uncapped
Jitesh,Sharma,India,WICKET_KEEPERS,20,Uncapped
Aniruda,Srikkanth,India,WICKET_KEEPERS,30,Uncapped
Vishnu,Vinod,India,WICKET_KEEPERS,20,Uncapped
Patrick,Brown,England,BOWLERS,40,Uncapped
Manjeetkumar,Chaudhary,India,BOWLERS,20,Uncapped
Yash ,Dayal,India,BOWLERS,20,Uncapped
Royston,Dias,India,BOWLERS,20,Uncapped
Umar Nazir,Mir,India,BOWLERS,20,Uncapped
Chetan,Sakariya,India,BOWLERS,20,Uncapped
Pradeep,Sangwan,India,BOWLERS,30,Uncapped
Kuldeep ,Sen,India,BOWLERS,20,Uncapped
Kanishk,Seth,India,BOWLERS,20,Uncapped
Rahul,Shukla,India,BOWLERS,20,Uncapped
Arshdeep,Singh,India,BOWLERS,20,Uncapped
Jaskaran,Singh,India,BOWLERS,20,Uncapped
Aaron,Summers,Australia,BOWLERS,20,Uncapped
Sandeep,Warrier,India,BOWLERS,20,Uncapped
Siddharth,Desai,India,BOWLERS,20,Uncapped
Rajat,Goel,India,BOWLERS,20,Uncapped
Pappu,Roy,India,BOWLERS,20,Uncapped
Pradeep,Sahu,India,BOWLERS,20,Uncapped
Karanveer,Singh,India,BOWLERS,20,Uncapped
Gurvinder,Singh,India,BOWLERS,20,Uncapped
Kushaal,Wadhwani,India,BOWLERS,20,Uncapped
Fabian,Allen,West Indies,ALL_ROUNDERS,50,Capped
Doug,Bracewell,New Zealand,ALL_ROUNDERS,50,Capped
Sikandar,Raza,Zimbabwe,ALL_ROUNDERS,75,Capped
Mohammed,Mahmudullah,Bangladesh,ALL_ROUNDERS,50,Capped
Paul,Stirling,Ireland,ALL_ROUNDERS,50,Capped
Ashton,Turner,Australia,ALL_ROUNDERS,50,Capped
David,Wiese,South Africa,ALL_ROUNDERS,75,Capped
Sean,Abbott,Australia,BOWLERS,50,Capped
Junior,Dala,South Africa,BOWLERS,50,Capped
Ashoke,Dinda,India,BOWLERS,50,Capped
Harry,Gurney,England,BOWLERS,75,Capped
Matt,Henry,New Zealand,BOWLERS,75,Capped
Obed,Mccoy,West Indies,BOWLERS,50,Capped
Seth,Rance,New Zealand,BOWLERS,50,Capped
Tanmay,Agarwal,India,BATSMEN,20,Uncapped
Harpreet,Bhatia,India,BATSMEN,20,Uncapped
Ishank,Jaggi,India,BATSMEN,20,Uncapped
Sharad ,Lumba,India,BATSMEN,20,Uncapped
Tanmay,Mishra,India,BATSMEN,20,Uncapped
Virat ,Singh,India,BATSMEN,20,Uncapped
Treyaksh ,Bali,India,ALL_ROUNDERS,20,Uncapped
Ajit,Chahal,India,ALL_ROUNDERS,20,Uncapped
Pankaj,Jaswal,India,ALL_ROUNDERS,20,Uncapped
Roosh,Kalaria,India,ALL_ROUNDERS,20,Uncapped
Milind,Kumar,India,ALL_ROUNDERS,20,Uncapped
Shamss,Mulani,India,ALL_ROUNDERS,20,Uncapped
Darshan,Nalkande,India,ALL_ROUNDERS,20,Uncapped
Sairaj,Patil,India,ALL_ROUNDERS,20,Uncapped
Jack,Prestwidge,Australia,ALL_ROUNDERS,20,Uncapped
Swapnil,Singh,India,ALL_ROUNDERS,20,Uncapped
Shashank,Singh,India,ALL_ROUNDERS,20,Uncapped
Lalit,Yadav,India,ALL_ROUNDERS,20,Uncapped
Samarpit,Joshi,India,WICKET_KEEPERS,20,Uncapped
Aryan,Juyal,India,WICKET_KEEPERS,20,Uncapped
Sumanth,Kolla,India,WICKET_KEEPERS,20,Uncapped
Anmol,Malhotra,India,WICKET_KEEPERS,20,Uncapped
Urvil,Patel,India,WICKET_KEEPERS,20,Uncapped
Sharath,Ravi,India,WICKET_KEEPERS,20,Uncapped
Ajay,Rohera,India,WICKET_KEEPERS,20,Uncapped
Prabhsimran,Singh,India,WICKET_KEEPERS,20,Uncapped
Upendra Singh,Yadav,India,WICKET_KEEPERS,20,Uncapped
Badrey,Alam,India,BOWLERS,20,Uncapped
Bandaru,Ayyappa,India,BOWLERS,20,Uncapped
Stephen,Chipurupalli,India,BOWLERS,20,Uncapped
Rasikh,Dar,India,BOWLERS,20,Uncapped
Mohit,Jangra,India,BOWLERS,20,Uncapped
Suraj,Kamath,India,BOWLERS,20,Uncapped
Mohsin,Khan,India,BOWLERS,20,Uncapped
Ravi Kiran,Majeti,India,BOWLERS,20,Uncapped
Nidheesh,MD,India,BOWLERS,20,Uncapped
Safvan,Patel,India,BOWLERS,20,Uncapped
Kushang,Patel,India,BOWLERS,20,Uncapped
Tanveer,Ul Haq,India,BOWLERS,20,Uncapped
Lalith ,Yadav,India,BOWLERS,20,Uncapped
Prithvi Raj,Yarra,India,BOWLERS,20,Uncapped
Robbie,Frylinck,South Africa,ALL_ROUNDERS,50,Capped
Liam,Livingstone,England,ALL_ROUNDERS,50,Capped
Jeevan,Mendis,Sri Lanka,ALL_ROUNDERS,50,Capped
Keemo,Paul,West Indies,ALL_ROUNDERS,50,Capped
Vernon,Philander,South Africa,ALL_ROUNDERS,50,Capped
Dasun,Shanaka,Sri Lanka,ALL_ROUNDERS,50,Capped
